"from_station_id","to_station_id","fare_octo_adult","fare_octo_child","fare_octo_elderly","fare_octo_pwd","fare_octo_student","fare_octo_joyyou_sixty","fare_single_adult","fare_single_child","fare_single_elderly"
"20","540",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"20","550",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"20","560",6.50,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","570",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","580",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","590",7.40,3.30,2.00,2.00,3.30,2.00,8.00,4.00,4.00
"20","600",7.70,3.80,2.00,2.00,3.80,2.00,8.00,4.00,4.00
"30","1",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","10",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","15",5.10,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","20",5.10,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","30",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"30","240",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","250",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"30","260",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"30","265",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"30","920",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"30","40",5.10,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","50",5.10,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","60",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","70",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","75",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"30","80",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"30","170",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","180",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","190",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","200",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","212",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","220",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"30","230",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"30","270",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"30","275",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"30","280",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","295",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","300",5.30,2.20,2.00,2.00,2.20,2.00,5.50,3.00,3.00
"30","310",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"30","320",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"30","330",5.40,2.60,2.00,2.00,2.60,2.00,5.50,3.00,3.00
"30","90",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"30","100",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
"30","110",5.40,2.60,2.00,2.00,2.60,2.00,6.50,3.50,3.50
